x,L1,L2,L3,L4,L6,L5,L7,L8,L9,L10
153,189.23529411764707,258.96078431372547,282.61764705882354,299.2549019607843,362.2974225297962,374.2555990003845,384.8797450980392,396.9019607843137,415.2745098039216,444.11764705882354
154,189.3921568627451,259.0,282.7352941176471,299.37254901960785,362.3562460592081,374.3340303729335,384.8503333333333,396.921568627451,415.2941176470589,444.15686274509807
155,189.54901960784315,259.03921568627453,282.8529411764706,299.4901960784314,362.4346855055748,374.4320776624375,384.864,396.9607843137255,415.3921568627451,444.1960784313725
156,189.66666666666663,259.05882352941177,282.97058823529414,299.6078431372549,362.5719331026529,374.5301095732411,384.9207254901961,397.0196078431373,415.5098039215686,444.2352941176471
157,189.7843137254902,259.0980392156863,283.0882352941176,299.7058823529412,362.72879584775086,374.6477566320646,384.9609019607843,397.078431372549,415.6470588235294,444.2745098039216
158,189.90196078431373,259.15686274509807,283.1862745098039,299.80392156862746,362.905274509804,374.7458039215686,385.0041568627451,397.11764705882354,415.7647058823529,444.3137254901961
159,190.0392156862745,259.2156862745098,283.2843137254902,299.88235294117646,363.08175893886965,374.8438569780854,385.0112745098039,397.15686274509807,415.8627450980392,444.3333333333333
160,190.15686274509804,259.27450980392155,283.38235294117646,299.96078431372547,363.2190219146482,374.9222964244522,385.0014705882353,397.1764705882353,415.9803921568628,444.3725490196079
161,190.31372549019608,259.3137254901961,283.4803921568628,300.05882352941177,363.3562695117263,375.0007204921184,384.9759019607843,397.1764705882353,416.078431372549,444.4117647058824
162,190.4705882352941,259.37254901960785,283.578431372549,300.15686274509807,363.4347162629758,375.1183829296425,384.9605098039216,397.1764705882353,416.2156862745098,444.4705882352941
163,190.64705882352945,259.3921568627451,283.69607843137254,300.27450980392155,363.5523625528642,375.2556370626682,384.975274509804,397.1764705882353,416.3333333333333,444.52941176470586
164,190.8235294117647,259.3921568627451,283.8333333333333,300.3921568627451,363.6896236063053,375.39293733179545,385.02019607843135,397.1764705882353,416.4509803921569,444.5882352941176
165,191.0196078431373,259.45098039215685,283.9901960784314,300.52941176470586,363.8458031526336,375.5494894271434,385.09566666666666,397.1764705882353,416.5098039215686,444.6666666666667
166,191.2156862745098,259.5098039215686,284.1666666666667,300.6470588235294,364.0216089965398,375.7060207612457,385.2209019607843,397.1960784313725,416.5490196078432,444.7647058823529
167,191.41176470588235,259.6078431372549,284.34313725490193,300.7647058823529,364.197369088812,375.86252595155713,385.3959019607843,397.2352941176471,416.55882352941177,444.8627450980392
168,191.6078431372549,259.7450980392157,284.53921568627453,300.921568627451,364.3934490580546,376.0193902345252,385.60066666666665,397.2941176470589,416.5392156862745,444.9607843137255
169,191.80392156862743,259.921568627451,284.7352941176471,301.078431372549,364.56991464821226,376.15664013840825,385.8348235294118,397.3725490196079,416.61764705882354,445.05882352941177
170,192.0,260.11764705882354,284.9313725490196,301.2156862745098,364.7463860053825,376.27428796616687,386.0591764705882,397.4509803921569,416.6960784313725,445.15686274509807
171,192.1960784313725,260.2268823529412,285.1274509803921,301.3137254901961,364.92286043829296,376.3919388696656,386.2921568627451,397.52941176470586,416.7549019607843,445.2549019607843
